"COUNTRY","Country","LANDINGS","Marine landings","SPECIES","Species","MEASURE","Measure","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","81","PEARLS, MOTHER-OF-PEARL, SHELLS","TON","Tonne","2013","2013","TONNE","Tonnes","0","Units",,,42460,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","81","PEARLS, MOTHER-OF-PEARL, SHELLS","TON","Tonne","2014","2014","TONNE","Tonnes","0","Units",,,40242,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","81","PEARLS, MOTHER-OF-PEARL, SHELLS","TON","Tonne","2015","2015","TONNE","Tonnes","0","Units",,,42607,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","81","PEARLS, MOTHER-OF-PEARL, SHELLS","TON","Tonne","2016","2016","TONNE","Tonnes","0","Units",,,41879,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","81","PEARLS, MOTHER-OF-PEARL, SHELLS","TON","Tonne","2017","2017","TONNE","Tonnes","0","Units",,,39997,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","81","PEARLS, MOTHER-OF-PEARL, SHELLS","TON","Tonne","2018","2018","TONNE","Tonnes","0","Units",,,36973,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","MSH","Marine shells nei [Ex Mollusca]","TON","Tonne","2000","2000","TONNE","Tonnes","0","Units",,,62832,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","MSH","Marine shells nei [Ex Mollusca]","TON","Tonne","2001","2001","TONNE","Tonnes","0","Units",,,55432,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","MSH","Marine shells nei [Ex Mollusca]","TON","Tonne","2002","2002","TONNE","Tonnes","0","Units",,,57365,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","MSH","Marine shells nei [Ex Mollusca]","TON","Tonne","2003","2003","TONNE","Tonnes","0","Units",,,57259,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","MSH","Marine shells nei [Ex Mollusca]","TON","Tonne","2004","2004","TONNE","Tonnes","0","Units",,,58029,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","MSH","Marine shells nei [Ex Mollusca]","TON","Tonne","2005","2005","TONNE","Tonnes","0","Units",,,56901,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","MSH","Marine shells nei [Ex Mollusca]","TON","Tonne","2006","2006","TONNE","Tonnes","0","Units",,,45888,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","MSH","Marine shells nei [Ex Mollusca]","TON","Tonne","2007","2007","TONNE","Tonnes","0","Units",,,59771,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","MSH","Marine shells nei [Ex Mollusca]","TON","Tonne","2008","2008","TONNE","Tonnes","0","Units",,,49912,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","MSH","Marine shells nei [Ex Mollusca]","TON","Tonne","2009","2009","TONNE","Tonnes","0","Units",,,47697,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","MSH","Marine shells nei [Ex Mollusca]","TON","Tonne","2010","2010","TONNE","Tonnes","0","Units",,,51423,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","MSH","Marine shells nei [Ex Mollusca]","TON","Tonne","2011","2011","TONNE","Tonnes","0","Units",,,45875,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","MSH","Marine shells nei [Ex Mollusca]","TON","Tonne","2012","2012","TONNE","Tonnes","0","Units",,,43329,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","MSH","Marine shells nei [Ex Mollusca]","TON","Tonne","2013","2013","TONNE","Tonnes","0","Units",,,42460,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","MSH","Marine shells nei [Ex Mollusca]","TON","Tonne","2014","2014","TONNE","Tonnes","0","Units",,,40242,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","MSH","Marine shells nei [Ex Mollusca]","TON","Tonne","2015","2015","TONNE","Tonnes","0","Units",,,42607,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","MSH","Marine shells nei [Ex Mollusca]","TON","Tonne","2016","2016","TONNE","Tonnes","0","Units",,,41879,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","MSH","Marine shells nei [Ex Mollusca]","TON","Tonne","2017","2017","TONNE","Tonnes","0","Units",,,39997,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","MSH","Marine shells nei [Ex Mollusca]","TON","Tonne","2018","2018","TONNE","Tonnes","0","Units",,,36973,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","9","AQUATIC PLANTS","TON","Tonne","2000","2000","TONNE","Tonnes","0","Units",,,118886,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","9","AQUATIC PLANTS","TON","Tonne","2001","2001","TONNE","Tonnes","0","Units",,,122000,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","9","AQUATIC PLANTS","TON","Tonne","2002","2002","TONNE","Tonnes","0","Units",,,127778,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","9","AQUATIC PLANTS","TON","Tonne","2003","2003","TONNE","Tonnes","0","Units",,,111397,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","9","AQUATIC PLANTS","TON","Tonne","2004","2004","TONNE","Tonnes","0","Units",,,113739,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","9","AQUATIC PLANTS","TON","Tonne","2005","2005","TONNE","Tonnes","0","Units",,,104788,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","9","AQUATIC PLANTS","TON","Tonne","2006","2006","TONNE","Tonnes","0","Units",,,113665,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","9","AQUATIC PLANTS","TON","Tonne","2007","2007","TONNE","Tonnes","0","Units",,,103602,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","9","AQUATIC PLANTS","TON","Tonne","2008","2008","TONNE","Tonnes","0","Units",,,104668,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","9","AQUATIC PLANTS","TON","Tonne","2009","2009","TONNE","Tonnes","0","Units",,,104103,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","9","AQUATIC PLANTS","TON","Tonne","2010","2010","TONNE","Tonnes","0","Units",,,97231,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","9","AQUATIC PLANTS","TON","Tonne","2011","2011","TONNE","Tonnes","0","Units",,,87779,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","9","AQUATIC PLANTS","TON","Tonne","2012","2012","TONNE","Tonnes","0","Units",,,98514,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","9","AQUATIC PLANTS","TON","Tonne","2013","2013","TONNE","Tonnes","0","Units",,,84498,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","9","AQUATIC PLANTS","TON","Tonne","2014","2014","TONNE","Tonnes","0","Units",,,91601,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","9","AQUATIC PLANTS","TON","Tonne","2015","2015","TONNE","Tonnes","0","Units",,,94084,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","9","AQUATIC PLANTS","TON","Tonne","2016","2016","TONNE","Tonnes","0","Units",,,80721,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","9","AQUATIC PLANTS","TON","Tonne","2017","2017","TONNE","Tonnes","0","Units",,,69969,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","9","AQUATIC PLANTS","TON","Tonne","2018","2018","TONNE","Tonnes","0","Units",,,134776,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","91","BROWN SEAWEEDS","TON","Tonne","2000","2000","TONNE","Tonnes","0","Units",,,93611,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","91","BROWN SEAWEEDS","TON","Tonne","2001","2001","TONNE","Tonnes","0","Units",,,97261,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","91","BROWN SEAWEEDS","TON","Tonne","2002","2002","TONNE","Tonnes","0","Units",,,104402,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","91","BROWN SEAWEEDS","TON","Tonne","2003","2003","TONNE","Tonnes","0","Units",,,84274,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","91","BROWN SEAWEEDS","TON","Tonne","2004","2004","TONNE","Tonnes","0","Units",,,91122,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","91","BROWN SEAWEEDS","TON","Tonne","2005","2005","TONNE","Tonnes","0","Units",,,78575,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","91","BROWN SEAWEEDS","TON","Tonne","2006","2006","TONNE","Tonnes","0","Units",,,84665,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","91","BROWN SEAWEEDS","TON","Tonne","2007","2007","TONNE","Tonnes","0","Units",,,72767,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","91","BROWN SEAWEEDS","TON","Tonne","2008","2008","TONNE","Tonnes","0","Units",,,73244,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","91","BROWN SEAWEEDS","TON","Tonne","2009","2009","TONNE","Tonnes","0","Units",,,80115,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","91","BROWN SEAWEEDS","TON","Tonne","2010","2010","TONNE","Tonnes","0","Units",,,74052,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","91","BROWN SEAWEEDS","TON","Tonne","2011","2011","TONNE","Tonnes","0","Units",,,61339,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","91","BROWN SEAWEEDS","TON","Tonne","2012","2012","TONNE","Tonnes","0","Units",,,73068,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","91","BROWN SEAWEEDS","TON","Tonne","2013","2013","TONNE","Tonnes","0","Units",,,56944,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","91","BROWN SEAWEEDS","TON","Tonne","2014","2014","TONNE","Tonnes","0","Units",,,66752,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","91","BROWN SEAWEEDS","TON","Tonne","2015","2015","TONNE","Tonnes","0","Units",,,71619,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","91","BROWN SEAWEEDS","TON","Tonne","2016","2016","TONNE","Tonnes","0","Units",,,58041,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","91","BROWN SEAWEEDS","TON","Tonne","2017","2017","TONNE","Tonnes","0","Units",,,45506,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","91","BROWN SEAWEEDS","TON","Tonne","2018","2018","TONNE","Tonnes","0","Units",,,55877,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","LAZ","Kelps nei [Laminariaceae]","TON","Tonne","2000","2000","TONNE","Tonnes","0","Units",,,93611,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","LAZ","Kelps nei [Laminariaceae]","TON","Tonne","2001","2001","TONNE","Tonnes","0","Units",,,97261,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","LAZ","Kelps nei [Laminariaceae]","TON","Tonne","2002","2002","TONNE","Tonnes","0","Units",,,104402,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","LAZ","Kelps nei [Laminariaceae]","TON","Tonne","2003","2003","TONNE","Tonnes","0","Units",,,84274,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","LAZ","Kelps nei [Laminariaceae]","TON","Tonne","2004","2004","TONNE","Tonnes","0","Units",,,91122,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","LAZ","Kelps nei [Laminariaceae]","TON","Tonne","2005","2005","TONNE","Tonnes","0","Units",,,78575,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","LAZ","Kelps nei [Laminariaceae]","TON","Tonne","2006","2006","TONNE","Tonnes","0","Units",,,84665,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","LAZ","Kelps nei [Laminariaceae]","TON","Tonne","2007","2007","TONNE","Tonnes","0","Units",,,72767,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","LAZ","Kelps nei [Laminariaceae]","TON","Tonne","2008","2008","TONNE","Tonnes","0","Units",,,73244,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","LAZ","Kelps nei [Laminariaceae]","TON","Tonne","2009","2009","TONNE","Tonnes","0","Units",,,80115,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","LAZ","Kelps nei [Laminariaceae]","TON","Tonne","2010","2010","TONNE","Tonnes","0","Units",,,74052,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","LAZ","Kelps nei [Laminariaceae]","TON","Tonne","2011","2011","TONNE","Tonnes","0","Units",,,61339,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","LAZ","Kelps nei [Laminariaceae]","TON","Tonne","2012","2012","TONNE","Tonnes","0","Units",,,73068,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","LAZ","Kelps nei [Laminariaceae]","TON","Tonne","2013","2013","TONNE","Tonnes","0","Units",,,56944,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","LAZ","Kelps nei [Laminariaceae]","TON","Tonne","2014","2014","TONNE","Tonnes","0","Units",,,66752,,
